Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price,Main Variety,Variety Count,Variety Class
Mocén Verdejo,Bodegas Mocén,Castilla y León,Rueda,2007.0,White,Verdejo,12.5,12.5,5.0,Verdejo,1,Pure
Martivillí Verdejo,Angel Lorenzo Cachazo,Castilla y León,Rueda,2007.0,White,Verdejo,12.5,12.5,5.7,Verdejo,1,Pure
Señorío de Nava Verdejo,Bodegas Señorío de Nava,Castilla y León,Rueda,2007.0,White,Verdejo,12.5,12.0,4.35,Verdejo,1,Pure
Prado Rey Verdejo,Real Sitio de la Ventosilla (Pradorey),Castilla y León,Rueda,2007.0,White,Verdejo,13.5,11.5,5.5,Verdejo,1,Pure
Manía Verdejo,Bodegas Félix Lorenzo Cachazo,Castilla y León,Rueda,2007.0,White,Verdejo,13.0,11.0,10.0,Verdejo,1,Pure
Blanco Nieva Pie Franco,Viñedos de Nieva,Castilla y León,Rueda,2007.0,White,Verdejo,12.5,11.0,8.3,Verdejo,1,Pure
Ossian,Ossian Vides y Vinos,Castilla y León,Otros Castilla y León,2006.0,White,Verdejo (100%),14.5,16.5,19.0,Verdejo,1,Pure
Naiades,Bodegas Naia,Castilla y León,Rueda,2006.0,White,Verdejo,14.0,16.0,21.0,Verdejo,1,Pure
Marqués de Riscal Limousin,Bodegas de los Herederos del Marqués de Riscal,Castilla y León,Rueda,2006.0,White,Verdejo,14.0,16.0,12.31,Verdejo,1,Pure
Belondrade y Lurton,Belondrade,Castilla y León,Rueda,2006.0,White,Verdejo,14.0,15.0,21.0,Verdejo,1,Pure
V3 Viñas Viejas Verdejo,Terna Bodegas,Castilla y León,Rueda,2005.0,White,Verdejo,13.0,15.0,18.0,Verdejo,1,Pure
Blanco Nieva Fermentado en Barrica,Viñedos de Nieva,Castilla y León,Rueda,2006.0,White,Verdejo,13.0,14.5,11.3,Verdejo,1,Pure
V3 Viñas Viejas Verdejo,Terna Bodegas,Castilla y León,Rueda,2006.0,White,Verdejo,14.0,14.5,18.0,Verdejo,1,Pure
Saxum Sauvignon Blanc,Terna Bodegas,Castilla y León,Rueda,2006.0,White,Sauvignon Blanc (100%),13.0,14.5,20.3,Sauvignon,1,Pure
Castelo Noble Verdejo Fermentado en Barrica,Bodegas Castelo de Medina,Castilla y León,Rueda,2003.0,White,Verdejo,13.0,14.5,8.0,Verdejo,1,Pure
